transaction_id,date,country,sales_person,unit_price,product_name,units_sold,customer_rating,@timestamp,profit_margin,region,total_sales,product_category
T083,2025-07-10T08:44:00,USA,Emily Davis,207,Jacket,16,1.8,2025-07-10T08:44:00.000+05:30,8.65,South,3312,Apparel
T089,2025-09-08T00:45:00,Germany,Emily Davis,392,Chair,9,4.7,2025-09-08T00:45:00.000+05:30,10.16,West,3528,Furniture
T093,2025-07-14T23:45:00,France,Alice Brown,436,Sofa,8,4.4,2025-07-14T23:45:00.000+05:30,10.49,North,3488,Furniture
T097,2025-10-02T04:05:00,India,Jane Smith,61,Smartphone,13,3.6,2025-10-02T04:05:00.000+05:30,13.24,North,793,Electronics
T100,2025-07-13T05:56:00,UK,Alice Brown,371,Sofa,1,2.4,2025-07-13T05:56:00.000+05:30,5.59,East,371,Furniture
T004,2025-04-21T12:47:00,UK,Alice Brown,360,Shoes,11,4.5,2025-04-21T12:47:00.000+05:30,5.9,South,3960,Apparel
T007,2025-06-11T02:23:00,USA,Jane Smith,201,Shoes,13,3.0,2025-06-11T02:23:00.000+05:30,6.17,South,2613,Apparel
T008,2025-03-29T23:53:00,Germany,Alice Brown,141,Laptop,8,2.0,2025-03-29T23:53:00.000+05:30,12.07,East,1128,Electronics
T010,2025-06-16T02:46:00,UK,John Doe,500,Shoes,7,2.8,2025-06-16T02:46:00.000+05:30,19.11,South,3500,Apparel
T016,2025-03-28T07:24:00,France,Emily Davis,115,Tablet,7,2.9,2025-03-28T07:24:00.000+05:30,22.87,West,805,Electronics
T018,2025-09-22T08:59:00,France,Bob Johnson,160,Smartphone,8,4.3,2025-09-22T08:59:00.000+05:30,21.77,South,1280,Electronics
T019,2025-07-19T21:41:00,India,Jane Smith,200,Laptop,15,1.1,2025-07-19T21:41:00.000+05:30,18.24,North,3000,Electronics
T027,2025-01-23T23:05:00,France,John Doe,134,Smartphone,14,1.2,2025-01-23T23:05:00.000+05:30,5.26,West,1876,Electronics
T031,2025-04-29T01:20:00,France,John Doe,353,Laptop,7,2.4,2025-04-29T01:20:00.000+05:30,6.36,East,2471,Electronics
T033,2025-03-14T19:51:00,France,Jane Smith,431,Tablet,3,3.1,2025-03-14T19:51:00.000+05:30,22.1,East,1293,Electronics
T034,2025-05-19T04:18:00,USA,John Doe,241,Jeans,3,1.0,2025-05-19T04:18:00.000+05:30,11.38,East,723,Apparel
T035,2025-09-11T03:52:00,Germany,Bob Johnson,135,Jacket,5,4.9,2025-09-11T03:52:00.000+05:30,18.23,North,675,Apparel
T038,2025-04-08T10:29:00,India,Bob Johnson,175,Smartphone,2,2.5,2025-04-08T10:29:00.000+05:30,6.12,East,350,Electronics
T039,2025-01-03T06:08:00,France,Jane Smith,375,Chair,15,3.3,2025-01-03T06:08:00.000+05:30,6.55,North,5625,Furniture
T040,2025-05-26T22:29:00,Germany,Alice Brown,277,Headphones,16,1.8,2025-05-26T22:29:00.000+05:30,6.26,North,4432,Electronics
T041,2025-07-02T16:32:00,France,John Doe,267,Bed,19,2.5,2025-07-02T16:32:00.000+05:30,10.05,North,5073,Furniture
T046,2025-06-09T08:22:00,USA,Alice Brown,391,Sofa,4,1.9,2025-06-09T08:22:00.000+05:30,19.3,West,1564,Furniture
T050,2025-06-25T05:22:00,UK,Emily Davis,72,Bed,7,3.3,2025-06-25T05:22:00.000+05:30,17.88,East,504,Furniture
T051,2025-03-07T08:56:00,Germany,Emily Davis,462,Chair,10,3.4,2025-03-07T08:56:00.000+05:30,8.17,North,4620,Furniture
T055,2025-04-14T10:10:00,UK,Emily Davis,364,Jeans,13,2.3,2025-04-14T10:10:00.000+05:30,10.73,North,4732,Apparel
T057,2025-02-28T07:06:00,UK,John Doe,290,Shirt,11,4.5,2025-02-28T07:06:00.000+05:30,17.18,South,3190,Apparel
T060,2025-05-05T01:33:00,Germany,Emily Davis,481,Tablet,9,4.0,2025-05-05T01:33:00.000+05:30,10.83,North,4329,Electronics
T061,2025-01-08T15:22:00,UK,Bob Johnson,306,Chair,8,2.9,2025-01-08T15:22:00.000+05:30,13.29,South,2448,Furniture
T063,2025-03-28T19:49:00,India,John Doe,221,Laptop,8,4.1,2025-03-28T19:49:00.000+05:30,21.66,South,1768,Electronics
T066,2025-05-06T20:33:00,USA,John Doe,330,Tablet,10,1.8,2025-05-06T20:33:00.000+05:30,19.64,North,3300,Electronics
T070,2025-04-01T20:55:00,USA,Alice Brown,381,Sofa,6,4.7,2025-04-01T20:55:00.000+05:30,20.21,South,2286,Furniture
T072,2025-01-14T11:08:00,France,Bob Johnson,69,Headphones,11,2.9,2025-01-14T11:08:00.000+05:30,23.6,North,759,Electronics
T073,2025-02-20T20:12:00,France,Alice Brown,331,Tablet,19,2.3,2025-02-20T20:12:00.000+05:30,11.09,East,6289,Electronics
T075,2025-10-28T10:22:00,France,Jane Smith,494,Table,11,4.4,2025-10-28T10:22:00.000+05:30,11.55,West,5434,Furniture
T087,2025-07-21T15:48:00,USA,Emily Davis,167,Shirt,17,1.4,2025-07-21T15:48:00.000+05:30,9.54,South,2839,Apparel
T088,2025-09-03T14:03:00,Germany,Emily Davis,425,Shoes,12,4.9,2025-09-03T14:03:00.000+05:30,21.06,East,5100,Apparel
T090,2025-05-03T18:23:00,India,Bob Johnson,207,Laptop,15,2.6,2025-05-03T18:23:00.000+05:30,5.51,South,3105,Electronics
T095,2025-03-23T06:19:00,USA,Emily Davis,393,Table,5,1.9,2025-03-23T06:19:00.000+05:30,13.18,West,1965,Furniture
T098,2025-03-30T15:36:00,France,Bob Johnson,334,Headphones,2,4.3,2025-03-30T15:36:00.000+05:30,22.38,North,668,Electronics
T002,2025-05-25T14:22:00,France,Jane Smith,450,Table,12,3.5,2025-05-25T14:22:00.000+05:30,14.47,West,5400,Furniture
T006,2025-07-17T03:27:00,France,Alice Brown,391,Sofa,8,2.0,2025-07-17T03:27:00.000+05:30,6.79,West,3128,Furniture
T009,2025-08-18T09:16:00,USA,Emily Davis,183,Bed,2,3.4,2025-08-18T09:16:00.000+05:30,14.33,West,366,Furniture
T012,2025-08-26T02:55:00,USA,Bob Johnson,128,Shoes,20,2.3,2025-08-26T02:55:00.000+05:30,22.62,North,2560,Apparel
T013,2025-05-11T13:09:00,UK,John Doe,397,Jacket,4,1.6,2025-05-11T13:09:00.000+05:30,20.89,North,1588,Apparel
T015,2025-01-11T01:57:00,UK,Alice Brown,418,Sofa,8,1.0,2025-01-11T01:57:00.000+05:30,12.01,South,3344,Furniture
T017,2025-01-09T01:02:00,Germany,Bob Johnson,277,Jacket,3,1.1,2025-01-09T01:02:00.000+05:30,16.38,West,831,Apparel
T022,2025-06-10T18:36:00,USA,Emily Davis,70,Shoes,9,4.9,2025-06-10T18:36:00.000+05:30,22.76,South,630,Apparel
T024,2025-01-19T06:47:00,Germany,Alice Brown,102,Bed,2,4.0,2025-01-19T06:47:00.000+05:30,21.2,East,204,Furniture
T025,2025-01-13T07:20:00,India,John Doe,305,Shirt,5,4.4,2025-01-13T07:20:00.000+05:30,10.88,West,1525,Apparel
T026,2025-06-08T10:24:00,UK,Emily Davis,273,Tablet,20,4.7,2025-06-08T10:24:00.000+05:30,7.57,North,5460,Electronics
T029,2025-05-05T03:57:00,India,Alice Brown,105,Shoes,3,1.7,2025-05-05T03:57:00.000+05:30,6.85,North,315,Apparel
T032,2025-04-16T02:23:00,France,Emily Davis,420,Table,10,2.8,2025-04-16T02:23:00.000+05:30,5.87,South,4200,Furniture
T042,2025-04-27T00:23:00,USA,Alice Brown,267,Table,12,4.5,2025-04-27T00:23:00.000+05:30,19.13,North,3204,Furniture
T043,2025-02-21T23:24:00,France,Alice Brown,114,Table,20,2.9,2025-02-21T23:24:00.000+05:30,12.25,East,2280,Furniture
T047,2025-03-02T23:38:00,India,Bob Johnson,311,Bed,17,2.9,2025-03-02T23:38:00.000+05:30,13.04,South,5287,Furniture
T048,2025-09-24T19:21:00,India,Jane Smith,129,Headphones,14,3.4,2025-09-24T19:21:00.000+05:30,23.66,East,1806,Electronics
T049,2025-08-15T20:42:00,UK,Jane Smith,331,Chair,19,1.9,2025-08-15T20:42:00.000+05:30,5.05,East,6289,Furniture
T053,2025-09-27T12:28:00,UK,Alice Brown,288,Headphones,15,4.5,2025-09-27T12:28:00.000+05:30,23.11,North,4320,Electronics
T062,2025-09-04T14:19:00,Germany,Alice Brown,438,Smartphone,19,1.8,2025-09-04T14:19:00.000+05:30,6.76,North,8322,Electronics
T064,2025-04-29T01:30:00,USA,Emily Davis,212,Headphones,8,2.7,2025-04-29T01:30:00.000+05:30,15.05,South,1696,Electronics
T069,2025-08-30T03:16:00,Germany,Emily Davis,104,Smartphone,11,4.9,2025-08-30T03:16:00.000+05:30,14.38,South,1144,Electronics
T074,2025-04-25T14:52:00,USA,Bob Johnson,457,Jacket,20,2.1,2025-04-25T14:52:00.000+05:30,24.54,East,9140,Apparel
T076,2025-07-26T02:35:00,France,Emily Davis,433,Headphones,4,3.6,2025-07-26T02:35:00.000+05:30,6.99,West,1732,Electronics
T078,2025-01-02T12:39:00,UK,Alice Brown,487,Headphones,17,1.1,2025-01-02T12:39:00.000+05:30,12.2,West,8279,Electronics
T082,2025-02-07T09:12:00,Germany,Emily Davis,267,Jeans,1,3.8,2025-02-07T09:12:00.000+05:30,5.54,North,267,Apparel
T084,2025-04-16T00:17:00,France,Jane Smith,322,Table,9,4.4,2025-04-16T00:17:00.000+05:30,5.07,West,2898,Furniture
T085,2025-09-07T07:17:00,France,Bob Johnson,110,Laptop,13,1.6,2025-09-07T07:17:00.000+05:30,20.35,North,1430,Electronics
T086,2025-08-05T08:46:00,India,Bob Johnson,419,Jacket,16,2.9,2025-08-05T08:46:00.000+05:30,12.85,South,6704,Apparel
T091,2025-07-03T05:58:00,India,Emily Davis,157,Table,16,1.8,2025-07-03T05:58:00.000+05:30,13.73,South,2512,Furniture
T092,2025-04-05T06:20:00,Germany,Alice Brown,118,Headphones,7,3.1,2025-04-05T06:20:00.000+05:30,7.29,East,826,Electronics
T094,2025-02-19T14:01:00,France,Emily Davis,418,Shirt,6,4.9,2025-02-19T14:01:00.000+05:30,14.43,East,2508,Apparel
T096,2025-02-14T18:48:00,France,John Doe,479,Sofa,5,1.9,2025-02-14T18:48:00.000+05:30,11.52,West,2395,Furniture
T099,2025-08-20T20:14:00,India,Jane Smith,483,Jeans,6,3.1,2025-08-20T20:14:00.000+05:30,20.46,East,2898,Apparel
